x,y
-6.119624418491323,-4.392357846331358
-6.123459892392383,-4.379393478602558
-6.12728264758339,-4.366838471642967
-6.131204164256986,-4.354310631017131
-6.135351163708618,-4.341440200914865
-6.139487787425204,-4.3289801251052
-6.14373306343822,-4.316555457594063
-6.148215701551273,-4.303798597181015
-6.152666461358712,-4.291470313764292
-6.157222863683674,-4.27917116757117
-6.162027271509205,-4.266548122490314
-6.166807811887984,-4.254336063653852
-6.171703661729835,-4.242164305720185
-6.176869367383804,-4.229671976432538
-6.182003577629993,-4.217595981769945
-6.187252588554722,-4.205576139603025
-6.192770706679656,-4.193275790872257
-6.198252804877021,-4.181375805614318
-6.203852679932177,-4.169526310664694
-6.209745522051099,-4.157371605529231
-6.2155847704541625,-4.145627375459965
-6.221540368488101,-4.133938639834276
-6.2277924175534585,-4.121968480692216
-6.233979729154543,-4.110411495234607
-6.240281856879756,-4.098919720501601
-6.24688857870494,-4.0871661451748595
-6.253429704508542,-4.0758109997066825
-6.260089387159988,-4.064522410800929
-6.2670739339856585,-4.052957810058356
-6.273962976264328,-4.041807014220012
-6.280962650110679,-4.030723300990448
-6.288290139505053,-4.019366159746921
-6.295506095216425,-4.008408551980131
-6.302818728374759,-3.997524784466483
-6.310453766924084,-3.98639374864312
-6.317974647470099,-3.975649384957868
-6.325592641181823,-3.964980013836199
-6.333544454051508,-3.954062068339864
-6.341363572854803,-3.9435454291121377
-6.349293157193699,-3.9331049508379117
-6.357577010268135,-3.9224299518913157
-6.36572447245029,-3.9121557544140826
-6.373968395142497,-3.9019827133316065
-6.382572321294385,-3.8915971578079764
-6.391032328432702,-3.881596276448917
-6.399592965485854,-3.871670887003137
-6.408515345377275,-3.8615274007143823
-6.41727330698273,-3.8517706273864083
-6.426134507159243,-3.84210098124325
-6.435368859692081,-3.8322331530141254
-6.444423977957784,-3.8227587624649284
-6.453561073254725,-3.813402841442206
-6.463095500961466,-3.8038554098546644
-6.472449240036847,-3.7946995508942747
-6.481912909799872,-3.785650594982564
-6.491777401165584,-3.7764402719083865
-6.501460811208617,-3.7676064058959153
-6.5112344069391375,-3.7588851358250843
-6.521405760430378,-3.75000967590655
-6.5313691818951085,-3.7415131611628345
-6.541417710167085,-3.733143654190462
-6.551884398533705,-3.724632409734107
-6.562143035064309,-3.7164817440974685
-6.572491051000328,-3.7084378729933456
-6.583231959759512,-3.7002721901293847
-6.593744780987535,-3.6924578867620608
-6.604345880442898,-3.6847553641805284
-6.615357090217254,-3.676938976102453
-6.626130118919308,-3.669465345072136
-6.636968432345432,-3.662114061028667
-6.648222510272214,-3.65465412878924
-6.659228140914526,-3.647522380906455
-6.670295837754011,-3.6405039256604796
-6.681773758742792,-3.633384313156989
-6.692982888035711,-3.6265906150288636
-6.7042673428045045,-3.6199140585296967
-6.715968314840943,-3.61316032527579
-6.727377797857606,-3.6067334661966326
-6.738841796308054,-3.6004246751950326
-6.7507337996621795,-3.5940326825293325
-6.762338196184668,-3.5879432390228
-6.774006028376626,-3.58196593211913
-6.786092996732284,-3.5759253148210712
-6.797883191349727,-3.570184523044965
-6.809734064304805,-3.5645688284926424
-6.821991586430107,-3.55892053327319
-6.833921203760587,-3.553575459080037
-6.8459304196790685,-3.5483403041130894
-6.858360806442224,-3.5430717579876254
-6.870484990805036,-3.538074244052994
-6.8826608934913445,-3.5331891742142947
-6.895255176468376,-3.5282756228885748
-6.907485768979623,-3.5236419448360032
-6.919789426908074,-3.519121214994904
-6.932513200860221,-3.5145947716620376
-6.9448908190013565,-3.510335896510791
-6.957327223972479,-3.5061967889153762
-6.970185522776863,-3.5020634201779846
-6.982705151951073,-3.498183456890083
-6.995251430490943,-3.4944398232835634
-7.008228451063422,-3.4907172204180097
-7.020871957679116,-3.4872293300888955
-7.0335508916160885,-3.483860543534458
-7.046645080367877,-3.4805161565232687
-7.059373564892752,-3.4773956509052417
-7.072139890423227,-3.474390982596056
-7.085308094833523,-3.471421894331854
-7.098129933222777,-3.4686514524597367
-7.110978525963275,-3.4659889490915257
-7.124244444626526,-3.463358750206548
-7.137143227350924,-3.460918888248605
-7.150063606034795,-3.4585933396130546
-7.1633877070509895,-3.456319175496391
-7.176324165283571,-3.454231753661715
-7.189288857779588,-3.452251786286473
-7.202669808761694,-3.4503186412740767
-7.215676568852228,-3.4485466681272583
-7.22869433610266,-3.4468846016275765
-7.242126236873323,-3.4452936293375713
-7.25517776269707,-3.4438678897849515
-7.268242879228084,-3.442552372656042
-7.281698489570275,-3.4413055890538935
-7.294772525674295,-3.440200233748116
